"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 30, 2020","3,050","3,040","3,050","3,000","95.79M","1.67%"
"Jul 29, 2020","3,000","3,030","3,050","3,000","114.35M","-0.66%"
"Jul 28, 2020","3,020","3,050","3,050","3,010","102.71M","-0.66%"
"Jul 27, 2020","3,040","3,020","3,050","3,020","58.71M","0.66%"
"Jul 24, 2020","3,020","3,080","3,080","3,020","137.27M","-1.63%"
"Jul 23, 2020","3,070","3,070","3,090","3,060","70.48M","0.00%"
"Jul 22, 2020","3,070","3,070","3,090","3,060","69.46M","0.33%"
"Jul 21, 2020","3,060","3,050","3,110","3,050","101.28M","0.00%"
"Jul 20, 2020","3,060","3,080","3,080","3,040","64.74M","0.00%"
"Jul 17, 2020","3,060","3,100","3,110","3,060","112.42M","-1.29%"
"Jul 16, 2020","3,100","3,090","3,110","3,080","91.95M","0.32%"
"Jul 15, 2020","3,090","3,120","3,130","3,080","102.30M","0.32%"
"Jul 14, 2020","3,080","3,100","3,110","3,070","111.44M","-0.32%"
"Jul 13, 2020","3,090","3,120","3,130","3,080","77.73M","-0.64%"
"Jul 10, 2020","3,110","3,110","3,130","3,100","95.42M","0.00%"
"Jul 09, 2020","3,110","3,170","3,190","3,110","125.94M","-1.27%"
"Jul 08, 2020","3,150","3,130","3,160","3,110","158.17M","0.96%"
"Jul 07, 2020","3,120","3,060","3,120","3,050","169.10M","2.30%"
"Jul 06, 2020","3,050","3,130","3,150","3,040","248.57M","-2.24%"
"Jul 03, 2020","3,120","3,150","3,180","3,110","102.03M","-0.64%"
"Jul 02, 2020","3,140","3,040","3,140","3,040","178.36M","3.29%"
"Jul 01, 2020","3,040","3,070","3,100","3,010","148.04M","-0.33%"
"Jun 30, 2020","3,050","3,090","3,100","3,050","258.07M","-4.09%"
"Jun 29, 2020","3,180","3,200","3,250","3,160","156.61M","-0.31%"
"Jun 26, 2020","3,190","3,190","3,220","3,180","100.78M","0.95%"
"Jun 25, 2020","3,160","3,160","3,220","3,140","100.88M","-0.63%"
"Jun 24, 2020","3,180","3,150","3,230","3,140","170.90M","1.60%"
"Jun 23, 2020","3,130","3,200","3,200","3,120","167.27M","-2.19%"
"Jun 22, 2020","3,200","3,290","3,300","3,180","159.78M","-2.44%"
"Jun 19, 2020","3,280","3,300","3,340","3,250","227.36M","0.00%"
"Jun 18, 2020","3,280","3,210","3,350","3,180","235.59M","2.18%"
"Jun 17, 2020","3,210","3,210","3,230","3,140","177.78M","0.31%"
"Jun 16, 2020","3,200","3,150","3,220","3,130","194.42M","3.56%"
"Jun 15, 2020","3,090","3,060","3,150","3,030","241.63M","1.98%"
"Jun 12, 2020","3,030","3,080","3,080","2,970","260.09M","-1.62%"
"Jun 11, 2020","3,080","3,120","3,150","3,060","175.77M","-0.96%"
"Jun 10, 2020","3,110","3,150","3,190","3,100","263.48M","-0.96%"
"Jun 09, 2020","3,140","3,250","3,270","3,140","171.21M","-2.79%"
"Jun 08, 2020","3,230","3,250","3,290","3,220","221.64M","0.00%"
"Jun 05, 2020","3,230","3,360","3,360","3,200","188.42M","-2.12%"
"Jun 04, 2020","3,300","3,320","3,390","3,250","167.71M","0.30%"
"Jun 03, 2020","3,290","3,280","3,320","3,230","216.20M","1.23%"
"Jun 02, 2020","3,250","3,160","3,270","3,120","174.79M","3.17%"
"May 29, 2020","3,150","3,100","3,150","3,080","276.09M","0.64%"
"May 28, 2020","3,130","3,180","3,210","3,130","177.39M","-1.26%"
"May 27, 2020","3,170","3,250","3,270","3,150","128.69M","-2.46%"
"May 26, 2020","3,250","3,150","3,280","3,130","105.79M","2.20%"
"May 20, 2020","3,180","3,200","3,260","3,180","76.09M","-2.75%"
"May 19, 2020","3,270","3,250","3,330","3,250","97.39M","1.55%"
"May 18, 2020","3,220","3,100","3,220","3,100","108.83M","3.87%"
"May 15, 2020","3,100","3,100","3,130","3,020","114.75M","0.98%"
"May 14, 2020","3,070","3,110","3,140","3,060","101.58M","-2.85%"
"May 13, 2020","3,160","3,150","3,170","3,080","73.24M","0.32%"
"May 12, 2020","3,150","3,270","3,270","3,100","138.98M","-2.17%"
"May 11, 2020","3,220","3,220","3,250","3,210","58.47M","0.94%"
"May 08, 2020","3,190","3,270","3,290","3,150","143.58M","-1.54%"
"May 06, 2020","3,240","3,300","3,340","3,220","86.40M","-2.41%"
"May 05, 2020","3,320","3,320","3,390","3,320","74.04M","0.00%"
"May 04, 2020","3,320","3,400","3,400","3,260","108.99M","-5.14%"
"Apr 30, 2020","3,500","3,400","3,540","3,350","163.17M","4.48%"
"Apr 29, 2020","3,350","3,200","3,390","3,100","154.90M","6.01%"
"Apr 28, 2020","3,160","3,170","3,200","3,140","80.21M","0.32%"
"Apr 27, 2020","3,150","3,120","3,200","3,100","85.48M","1.94%"
"Apr 24, 2020","3,090","3,100","3,160","3,080","84.06M","0.65%"
"Apr 23, 2020","3,070","3,200","3,240","3,070","117.39M","-2.85%"
"Apr 22, 2020","3,160","3,050","3,270","3,030","126.28M","2.93%"
